1,40.391
2,47.847
3,34.773
4,46.427
5,23.149
6,34.915
7,36.469
8,23.136
9,45.64
10,48.191
11,23.487
12,45.323
13,48.127
14,45.973
15,47.778
16,35.274
17,22.052
18,45.86
19,23.695
20,48.315
21,45.039
22,38.269
23,31.892
24,36.144
25,46.338
26,24.056
27,35.266
28,21.129
29,24.076
30,47.519
31,21.799
32,34.919
33,47.988
34,23.155
35,34.254
36,35.053
37,58.145
38,37.442
39,34.403
40,46.162
41,46.87
42,24.06
43,34.826
44,34.963
45,47.047
46,22.003
47,35.788
48,46.303
49,34.173
50,36.809
51,46.653
52,47.027
53,46.049
54,35.831
55,34.873
56,35.047
57,47.779
58,21.281
59,22.79
60,35.254
61,22.804
62,35.485
63,36.93
64,44.634
65,46.562
66,38.07
67,33.04
68,48.649
69,45.449
70,48.989
71,44.1
72,22.861
73,37.679
74,57.346
75,58.146
76,47.873
77,47.95
78,35.193
79,34.386
80,34.066
81,34.993
82,36.955
83,46.243
84,71.942
85,45.08
86,35.022
87,58.826
88,47.964
89,48.389
90,33.058
91,46.854
92,23.278
93,47.278
94,60.122
95,20.801
96,22.97
97,48.3
98,34.647
99,58.227
100,46.919

101,36.468
102,45.643
103,22.798
104,48.387
105,46.088
45.075
45.694
47.474
34.121
48.401
36.066
46.662
72.642
35.506
22.946
35.636
26.675
46.769
59.268
36.403
23.486
36.206
36.271
24.043
58.74
